0,1,2,3,4,5,6
2021-08-26T09:35:00+0530,144.65,144.65,144.65,144.65,0,4825
2021-08-26T09:40:00+0530,144.65,144.65,144.65,144.65,0,4825
2021-08-26T09:45:00+0530,144.65,144.65,144.65,144.65,0,4825
2021-08-26T09:50:00+0530,144.65,144.65,144.65,144.65,0,4825
2021-08-26T09:55:00+0530,144.65,144.65,144.35,144.35,25,4775
2021-08-26T10:00:00+0530,144.35,151.2,144.35,150.95,75,4750
2021-08-26T10:05:00+0530,150.95,150.95,150.95,150.95,0,4750
2021-08-26T10:10:00+0530,150.95,154.8,150.95,154.8,75,4750
2021-08-26T10:15:00+0530,154.8,154.8,150,150,125,4850
2021-08-26T10:20:00+0530,150,150,150,150,0,4850
2021-08-26T10:25:00+0530,150,150,144.3,144.3,50,4900
2021-08-26T10:30:00+0530,144.3,148,144.3,148,75,4900
2021-08-26T10:35:00+0530,148,148,148,148,0,4900
2021-08-26T10:40:00+0530,148,148,143.6,143.6,50,4900
2021-08-26T10:45:00+0530,145.35,145.35,143.25,143.4,100,4900
2021-08-26T10:50:00+0530,143.4,148.85,142.55,148.85,100,4850
2021-08-26T10:55:00+0530,149.25,150.8,146.65,146.65,125,4750
2021-08-26T11:00:00+0530,146.2,151.8,146.2,147.8,200,4700
2021-08-26T11:05:00+0530,147.8,152,147.8,152,50,4725
2021-08-26T11:10:00+0530,152,155.15,152,155.15,25,4775
2021-08-26T11:15:00+0530,155.15,155.15,155.15,155.15,0,4775
2021-08-26T11:20:00+0530,155.15,155.15,149.95,149.95,75,4800
2021-08-26T11:25:00+0530,149.95,154.1,148.75,154.1,50,4825
2021-08-26T11:30:00+0530,154.1,170.3,143.75,143.75,225,4875
2021-08-26T11:35:00+0530,143.75,169,143.75,167.3,100,4900
2021-08-26T11:40:00+0530,167.3,167.7,166.05,166.05,25,4875
2021-08-26T11:45:00+0530,166.05,178.05,166.05,178.05,225,4850
2021-08-26T11:50:00+0530,178.05,178.05,177.8,177.8,0,4875
2021-08-26T11:55:00+0530,177.8,177.8,173.4,173.4,100,4900
2021-08-26T12:00:00+0530,172.15,178,172.15,178,50,4850
2021-08-26T12:05:00+0530,178,178,167.75,172.1,25,4850
2021-08-26T12:10:00+0530,172.1,184.1,172.1,174.45,200,4825
2021-08-26T12:15:00+0530,174.45,174.45,174.45,174.45,25,4825
2021-08-26T12:20:00+0530,170.65,170.65,170.65,170.65,25,4825
2021-08-26T12:25:00+0530,170.65,170.65,148,160,75,4825
2021-08-26T12:30:00+0530,160,165.35,143.5,143.5,200,4975
2021-08-26T12:35:00+0530,143.5,162.5,143.5,162.5,50,4975
2021-08-26T12:40:00+0530,162.5,162.5,162.5,162.5,0,4975
2021-08-26T12:45:00+0530,162.5,162.5,157.3,157.3,50,4950
2021-08-26T12:50:00+0530,157.3,157.3,146.3,146.3,50,4950
2021-08-26T12:55:00+0530,146.3,146.3,146.3,146.3,0,4950
2021-08-26T13:00:00+0530,146.3,176.75,146.3,163.9,175,4875
2021-08-26T13:05:00+0530,163.9,163.9,163.9,163.9,0,4875
2021-08-26T13:10:00+0530,163.9,163.9,163.9,163.9,0,4875
2021-08-26T13:15:00+0530,163.9,165,157.2,165,100,4825
2021-08-26T13:20:00+0530,165,165,165,165,0,4825
2021-08-26T13:25:00+0530,165,167.05,163.75,167.05,125,4750
2021-08-26T13:30:00+0530,167.25,167.3,159.45,159.45,175,4750
2021-08-26T13:35:00+0530,159.45,161.7,156.05,157.3,325,4750
2021-08-26T13:40:00+0530,157.3,162.95,155.05,158.35,150,4750
2021-08-26T13:45:00+0530,158.35,160.4,155.15,157.45,375,4700
2021-08-26T13:50:00+0530,157.45,157.8,155.85,157.8,75,4650
2021-08-26T13:55:00+0530,157.8,157.8,157.8,157.8,0,4650
2021-08-26T14:00:00+0530,157.8,172.7,157.8,172.7,425,4550
2021-08-26T14:05:00+0530,172.7,172.7,169.4,171,250,4625
2021-08-26T14:10:00+0530,171.75,171.9,163.4,163.4,225,4950
2021-08-26T14:15:00+0530,163.4,171.05,163.4,166.85,75,4925
2021-08-26T14:20:00+0530,166.85,166.85,161.9,161.9,75,4950
2021-08-26T14:25:00+0530,156.75,156.75,153.05,155.45,300,5175
2021-08-26T14:30:00+0530,155.45,155.45,150,150,25,5300
2021-08-26T14:35:00+0530,150,150,144.9,144.9,25,5325
2021-08-26T14:40:00+0530,144.9,145.7,143,144.6,400,5325
2021-08-26T14:45:00+0530,144.6,149.75,142.4,149.35,125,5300
2021-08-26T14:50:00+0530,149.35,149.35,143.05,145.55,175,5250
2021-08-26T14:55:00+0530,145.55,145.7,139.65,141.1,450,5200
2021-08-26T15:00:00+0530,140.4,140.4,136.4,138.65,175,5075
2021-08-26T15:05:00+0530,138.65,138.65,127.2,133.15,2050,6200
2021-08-26T15:10:00+0530,138.5,138.5,128.85,131.85,850,6350
2021-08-26T15:15:00+0530,139.4,141.1,132.4,132.4,475,6350
2021-08-26T15:20:00+0530,132.4,141.15,130.05,130.05,200,6475
2021-08-26T15:25:00+0530,130.05,130.85,98.75,100.75,875,6775
2021-08-27T09:15:00+0530,127.15,129.15,110,113.85,125,7050
2021-08-27T09:20:00+0530,117.45,121.55,111.05,111.05,825,7275
2021-08-27T09:25:00+0530,112.65,112.95,99.05,99.1,2375,8350
2021-08-27T09:30:00+0530,97.75,101.65,95.5,96,725,8175
2021-08-27T09:35:00+0530,96,100.95,94.5,95.3,1425,7975
2021-08-27T09:40:00+0530,95.1,99.85,94.85,96.15,625,7200
2021-08-27T09:45:00+0530,96.15,101.15,96.05,99.45,275,7575
2021-08-27T09:50:00+0530,99.45,102.55,99.45,102.55,125,7575
2021-08-27T09:55:00+0530,102.55,102.55,102.55,102.55,0,7575
2021-08-27T10:00:00+0530,102.55,102.55,94.9,100.25,1450,7600
2021-08-27T10:05:00+0530,100.25,100.25,97.85,99,350,8650
2021-08-27T10:10:00+0530,98.95,98.95,96.5,97,675,8700
2021-08-27T10:15:00+0530,101.45,104.65,99.55,99.55,500,9425
2021-08-27T10:20:00+0530,98.8,101,98.8,100,150,9500
2021-08-27T10:25:00+0530,100,102.95,100,100.5,50,9500
2021-08-27T10:30:00+0530,100.5,109.35,100.5,102.95,800,9650
2021-08-27T10:35:00+0530,102.95,107.5,101.2,102.2,1000,9850
2021-08-27T10:40:00+0530,102.2,103.15,99.75,102.25,175,10300
2021-08-27T10:45:00+0530,102.25,105,102.25,104.1,200,10300
2021-08-27T10:50:00+0530,104.1,104.1,96.15,97.85,75,10400
2021-08-27T10:55:00+0530,97.85,100.4,96.35,96.35,225,10425
2021-08-27T11:00:00+0530,96.35,98,96.35,98,25,10525
2021-08-27T11:05:00+0530,98,98,97,97,50,10475
2021-08-27T11:10:00+0530,97,101.15,97,101.15,50,10475
2021-08-27T11:15:00+0530,101.15,104.6,101.15,104.15,250,10525
2021-08-27T11:20:00+0530,104.15,107,102.45,102.85,150,10575
2021-08-27T11:25:00+0530,102.85,102.85,102.85,102.85,0,10575
2021-08-27T11:30:00+0530,102.85,103.45,101.9,103.45,175,10625
2021-08-27T11:35:00+0530,103.45,118.15,103.45,118.15,500,10825
2021-08-27T11:40:00+0530,118.15,120.45,116.6,120.45,525,10750
2021-08-27T11:45:00+0530,124.5,124.5,115.9,116.25,450,10775
2021-08-27T11:50:00+0530,116.25,116.25,116.25,116.25,25,10775
2021-08-27T11:55:00+0530,120.25,123.75,116.25,118.4,1000,10775
2021-08-27T12:00:00+0530,118.4,121.6,116.95,116.95,150,11350
2021-08-27T12:05:00+0530,116.95,118.3,114.8,114.8,125,11350
2021-08-27T12:10:00+0530,110.45,114,110.45,114,75,11400
2021-08-27T12:15:00+0530,114,114,104,104,50,11400
2021-08-27T12:20:00+0530,104,107.25,104,107.25,175,11375
2021-08-27T12:25:00+0530,107.25,107.25,107.25,107.25,0,11375
2021-08-27T12:30:00+0530,107.25,114.85,107.25,114.85,250,11300
2021-08-27T12:35:00+0530,116,118,113,118,550,11275
2021-08-27T12:40:00+0530,116,116,114.45,115,1275,11350
2021-08-27T12:45:00+0530,109.5,111.95,107.35,108.8,3350,13600
2021-08-27T12:50:00+0530,108.8,112.4,108.8,110.25,300,13600
2021-08-27T12:55:00+0530,110.25,116.5,110.25,113.15,475,13950
2021-08-27T13:00:00+0530,115.5,115.5,112,112,125,14150
2021-08-27T13:05:00+0530,112,112.35,107.65,112,700,13650
2021-08-27T13:10:00+0530,112,112,110.1,111.65,125,13675
2021-08-27T13:15:00+0530,111.65,113.5,108.3,113.5,100,13625
2021-08-27T13:20:00+0530,113.5,113.75,111.7,113.75,400,13675
2021-08-27T13:25:00+0530,113.75,113.75,111.05,112.15,225,13700
2021-08-27T13:30:00+0530,112.15,114.2,111.3,114.2,250,13825
2021-08-27T13:35:00+0530,114.2,114.2,94.75,103.6,2225,13850
2021-08-27T13:40:00+0530,104.5,108,104.15,106.4,250,13400
2021-08-27T13:45:00+0530,106.4,110,106.4,110,25,13500
2021-08-27T13:50:00+0530,110,111.75,104.45,104.45,175,13550
2021-08-27T13:55:00+0530,104.95,107.35,104.95,107.35,1525,13575
2021-08-27T14:00:00+0530,107.35,108.3,106.7,106.7,100,13575
2021-08-27T14:05:00+0530,106.7,106.7,102.05,104.15,225,13675
2021-08-27T14:10:00+0530,107.6,108.65,107.25,107.25,625,14025
2021-08-27T14:15:00+0530,107.25,109.95,106.6,109.7,525,14250
2021-08-27T14:20:00+0530,109.7,122.5,109.7,120.7,550,14275
2021-08-27T14:25:00+0530,120.7,120.7,115.4,115.4,1825,14525
2021-08-27T14:30:00+0530,115.4,123,115.4,122.4,725,14350
2021-08-27T14:35:00+0530,122.4,128.45,109.2,110,775,14250
2021-08-27T14:40:00+0530,114.4,117.35,112.8,117.05,650,14300
2021-08-27T14:45:00+0530,117.05,118,113.6,114.7,625,14475
2021-08-27T14:50:00+0530,113.75,114,109.65,111.95,450,15100
2021-08-27T14:55:00+0530,110.5,114.25,110.5,112.35,725,15200
2021-08-27T15:00:00+0530,112.35,115.2,111.95,113,325,15750
2021-08-27T15:05:00+0530,112.2,115,111.45,115,425,15975
2021-08-27T15:10:00+0530,113.15,114.45,111.55,112.8,1925,16300
2021-08-27T15:15:00+0530,112.4,113.35,110.6,110.85,1200,17350
2021-08-27T15:20:00+0530,110.4,111.05,108.7,109,2475,17050
2021-08-27T15:25:00+0530,109,112.8,108.45,112.7,2225,17625
2021-08-30T09:15:00+0530,143.45,145.5,127.6,132.2,2675,17150
2021-08-30T09:20:00+0530,132.2,135,127,129.75,2025,17350
2021-08-30T09:25:00+0530,130.05,133.3,119.3,122.05,1475,18225
2021-08-30T09:30:00+0530,121.45,123,117.5,122,800,17650
2021-08-30T09:35:00+0530,122,134.35,119.8,134.35,1800,18125
2021-08-30T09:40:00+0530,134.35,141.5,134.35,136.5,950,17625
2021-08-30T09:45:00+0530,136.5,143.85,136.5,139.9,2925,18525
2021-08-30T09:50:00+0530,139.9,143.45,138.4,142.8,1500,19575
2021-08-30T09:55:00+0530,142.8,167.95,142.8,167.95,6175,19075
2021-08-30T10:00:00+0530,169.6,174.7,165.5,169.15,1925,19725
2021-08-30T10:05:00+0530,173.95,179.3,170,179.05,275,19350
2021-08-30T10:10:00+0530,180,180,165.45,168.9,900,19550
2021-08-30T10:15:00+0530,168.9,171.95,165.6,165.6,725,19875
2021-08-30T10:20:00+0530,165.6,196.5,165.6,196.4,900,19650
2021-08-30T10:25:00+0530,197.35,197.45,191.05,191.4,3725,20200
2021-08-30T10:30:00+0530,191.4,220.3,191.4,219.05,4850,20250
2021-08-30T10:35:00+0530,219.05,235,213,232.7,2650,20800
2021-08-30T10:40:00+0530,232.7,244.7,232.7,244.7,2750,20950
2021-08-30T10:45:00+0530,244.7,244.7,212.55,215.9,2875,21275
2021-08-30T10:50:00+0530,215.9,226.8,215.9,220.25,5400,22650
2021-08-30T10:55:00+0530,220.25,224.3,205.65,205.65,2575,22525
2021-08-30T11:00:00+0530,205.65,212.7,202.9,211.95,3800,21600
2021-08-30T11:05:00+0530,211.95,215.45,211.25,211.25,550,21950
2021-08-30T11:10:00+0530,211.25,217.45,206.9,214.75,525,21900
2021-08-30T11:15:00+0530,212.95,214,206.75,208.1,250,21875
2021-08-30T11:20:00+0530,208.1,208.4,197.35,200,400,21900
2021-08-30T11:25:00+0530,200,200,197.85,200,225,21900
2021-08-30T11:30:00+0530,200,200,196.9,196.9,50,21925
2021-08-30T11:35:00+0530,196.9,207.05,196.9,206.85,675,22025
2021-08-30T11:40:00+0530,206.85,206.85,196.3,199.85,275,22100
2021-08-30T11:45:00+0530,199.85,206.1,197.75,197.75,400,22175
2021-08-30T11:50:00+0530,197.75,205.4,197.75,205.4,100,22175
2021-08-30T11:55:00+0530,205.4,205.4,198.75,198.75,350,22175
2021-08-30T12:00:00+0530,198.75,212.8,198.75,212.65,450,22375
2021-08-30T12:05:00+0530,211.95,217,211.95,215,1375,22700
2021-08-30T12:10:00+0530,215,215,207.25,210.6,300,22600
2021-08-30T12:15:00+0530,210.6,212.5,210.6,212.5,75,22275
2021-08-30T12:20:00+0530,212.5,212.65,204.35,204.35,125,22275
2021-08-30T12:25:00+0530,204.35,205.8,199.65,199.65,300,22275
2021-08-30T12:30:00+0530,198,206.2,198,204.4,900,22525
2021-08-30T12:35:00+0530,204.4,209.7,204.4,209.7,325,22525
2021-08-30T12:40:00+0530,209.7,216.55,209.7,216.55,1375,22775
2021-08-30T12:45:00+0530,216.55,221,211.55,214,700,23225
2021-08-30T12:50:00+0530,214,214,209,211.55,1075,23350
2021-08-30T12:55:00+0530,212.5,214.55,206.55,214.55,300,23050
2021-08-30T13:00:00+0530,214.55,218.6,211.6,218.6,1525,23550
2021-08-30T13:05:00+0530,218.6,221,213.55,217.8,550,23650
2021-08-30T13:10:00+0530,217.8,221.7,217.55,220.55,925,23525
2021-08-30T13:15:00+0530,220.55,223.35,216.8,216.8,200,23500
2021-08-30T13:20:00+0530,216.8,227.8,216.8,227.25,350,23500
2021-08-30T13:25:00+0530,227.25,235,227.25,235,1075,23475
2021-08-30T13:30:00+0530,235,244.4,231.25,237.65,2325,23350
2021-08-30T13:35:00+0530,236.5,244.4,230,244.4,3250,24625
