Date,Open,High,Low,Close
2021-10-12 12:56:00,747.5,747.5,740.0,740.0
2021-10-12 12:57:00,728.75,737.35,719.95,737.35
2021-10-12 12:58:00,736.5,789.9,736.5,777.45
2021-10-12 12:59:00,777.0,795.0,772.15,791.65
2021-10-12 13:00:00,788.15,793.55,772.35,781.75
2021-10-12 13:01:00,776.1,781.45,770.0,781.45
2021-10-12 13:02:00,785.45,786.5,774.85,782.55
2021-10-12 13:03:00,782.55,782.55,765.0,767.3
2021-10-12 13:04:00,766.15,775.0,765.0,773.15
2021-10-12 13:05:00,773.15,773.15,758.3,758.3
2021-10-12 13:06:00,758.3,760.9,731.0,741.5
2021-10-12 13:07:00,741.35,750.0,737.85,750.0
2021-10-12 13:08:00,750.0,756.55,740.45,740.45
2021-10-12 13:09:00,740.45,742.5,736.4,742.5
2021-10-12 13:10:00,740.1,747.05,735.0,737.05
2021-10-12 13:11:00,733.7,738.15,730.0,731.6
2021-10-12 13:12:00,731.6,741.0,731.6,741.0
2021-10-12 13:13:00,738.5,746.7,734.3,734.3
2021-10-12 13:14:00,734.3,740.0,731.5,734.15
2021-10-12 13:15:00,734.15,745.6,734.15,740.0
2021-10-12 13:16:00,737.25,740.0,700.1,704.05
2021-10-12 13:17:00,706.6,715.95,700.0,707.35
2021-10-12 13:18:00,709.5,724.85,709.5,721.3
2021-10-12 13:19:00,721.3,723.65,710.0,715.0
2021-10-12 13:20:00,720.85,731.5,719.9,731.5
2021-10-12 13:21:00,731.5,731.5,718.2,723.75
2021-10-12 13:22:00,723.75,726.45,717.25,718.65
2021-10-12 13:23:00,725.0,725.75,716.8,719.75
2021-10-12 13:24:00,716.0,718.1,697.8,703.75
2021-10-12 13:25:00,703.3,712.4,696.85,710.0
2021-10-12 13:26:00,710.0,719.0,704.05,704.05
2021-10-12 13:27:00,703.25,732.0,703.25,724.55
2021-10-12 13:28:00,724.55,732.05,720.7,730.45
2021-10-12 13:29:00,735.45,735.45,719.25,722.9
2021-10-12 13:30:00,722.9,723.0,680.0,680.0
2021-10-12 13:31:00,680.0,706.45,676.0,701.8
2021-10-12 13:32:00,704.95,757.0,698.6,755.8
2021-10-12 13:33:00,751.65,760.35,743.9,747.1
2021-10-12 13:34:00,748.95,760.0,743.55,744.8
2021-10-12 13:35:00,748.3,760.0,748.3,749.55
2021-10-12 13:36:00,749.55,750.25,734.4,739.1
2021-10-12 13:37:00,741.35,744.2,726.0,726.0
2021-10-12 13:38:00,725.0,727.3,721.25,721.45
2021-10-12 13:39:00,721.45,727.35,720.9,722.8
2021-10-12 13:40:00,722.8,726.85,721.0,722.0
