Date,Open,High,Low,Close
2021-09-08T09:15:00+0530,36519.7,36528.75,36401.6,36443.65
2021-09-08T09:16:00+0530,36438,36520.85,36436.75,36519.75
2021-09-08T09:17:00+0530,36515.4,36577.45,36501.4,36574.65
2021-09-08T09:18:00+0530,36565.8,36623.85,36565.8,36610.75
2021-09-08T09:19:00+0530,36614.1,36614.1,36573.2,36597.15
2021-09-08T09:20:00+0530,36599.7,36642.5,36599.5,36637.15
2021-09-08T09:21:00+0530,36632.75,36648.95,36605.45,36626.5
2021-09-08T09:22:00+0530,36627.45,36630.85,36592.7,36616.4
2021-09-08T09:23:00+0530,36617.9,36617.9,36586.8,36586.8
2021-09-08T09:24:00+0530,36581.25,36596.2,36564.55,36587.35
2021-09-08T09:25:00+0530,36585.6,36592.45,36541.05,36543.85
2021-09-08T09:26:00+0530,36548.4,36584.1,36548.4,36566.1
2021-09-08T09:27:00+0530,36571,36621.85,36566.55,36621.85
2021-09-08T09:28:00+0530,36620.1,36645.4,36614.55,36619.4
2021-09-08T09:29:00+0530,36618.05,36618.05,36586.25,36588.85
2021-09-08T09:30:00+0530,36589.5,36592,36559.7,36574.15
2021-09-08T09:31:00+0530,36574.85,36577.3,36562.1,36575.6
2021-09-08T09:32:00+0530,36576.15,36608.3,36563.8,36593.35
2021-09-08T09:33:00+0530,36592.8,36620.7,36590.45,36605.55
2021-09-08T09:34:00+0530,36610.5,36619,36602,36614.9
2021-09-08T09:35:00+0530,36614.15,36637.35,36610.5,36621.4
2021-09-08T09:36:00+0530,36620.3,36625.1,36612.35,36613.75
2021-09-08T09:37:00+0530,36617.2,36635.65,36605.15,36630.7
2021-09-08T09:38:00+0530,36635.2,36673.95,36633.3,36673.95
2021-09-08T09:39:00+0530,36671.65,36687.15,36666.5,36672.15
2021-09-08T09:40:00+0530,36671.3,36716.7,36668.2,36710.35
2021-09-08T09:41:00+0530,36706.95,36720.45,36702.9,36708.85
2021-09-08T09:42:00+0530,36708.35,36713.9,36697.35,36708.55
2021-09-08T09:43:00+0530,36706.6,36715.3,36700.6,36714.95
2021-09-08T09:44:00+0530,36708.8,36745.6,36708.8,36740.2
2021-09-08T09:45:00+0530,36734.75,36741.75,36729.75,36740.45
2021-09-08T09:46:00+0530,36736.5,36737.4,36712.1,36720.6
2021-09-08T09:47:00+0530,36720.85,36721.1,36706.5,36713.9
2021-09-08T09:48:00+0530,36713.2,36715.95,36701.55,36705.1
2021-09-08T09:49:00+0530,36704.05,36723.55,36700.25,36715.25
