Date,Open,High,Low,Close,5,6
2021-08-20T09:15:00+0530,2143,2164.65,2138,2160.95,762016,0
2021-08-20T09:45:00+0530,2161.05,2162,2154,2158,290952,0
2021-08-20T10:15:00+0530,2157,2163.6,2155.75,2158.25,276528,0
2021-08-20T10:45:00+0530,2158,2159.75,2147,2153.05,369008,0
2021-08-20T11:15:00+0530,2153.1,2172,2152,2166.55,419920,0
2021-08-20T11:45:00+0530,2166.55,2171,2161.8,2166.4,198011,0
2021-08-20T12:15:00+0530,2166.4,2166.85,2156,2158.95,217333,0
2021-08-20T12:45:00+0530,2158.95,2160.05,2148.6,2151.05,275914,0
2021-08-20T13:15:00+0530,2151.05,2157.85,2149.3,2153.15,170830,0
2021-08-20T13:45:00+0530,2153.15,2165.25,2150.8,2162.65,245170,0
2021-08-20T14:15:00+0530,2162.65,2167,2156,2157.9,312821,0
2021-08-20T14:45:00+0530,2157.9,2162.55,2148.45,2153,414094,0
2021-08-20T15:15:00+0530,2153,2153,2138.1,2140.1,338759,0
2021-08-23T09:15:00+0530,2174,2174,2158.25,2160.8,639603,0
2021-08-23T09:45:00+0530,2160.8,2162.45,2144.95,2145.35,395658,0
2021-08-23T10:15:00+0530,2145,2153.45,2132.3,2144.55,441227,0
2021-08-23T10:45:00+0530,2144.6,2146.5,2139,2140.25,294154,0
2021-08-23T11:15:00+0530,2141,2160.45,2138.15,2156.95,543540,0
2021-08-23T11:45:00+0530,2156.95,2162.1,2153,2160.1,384061,0
2021-08-23T12:15:00+0530,2160.05,2160.2,2152.9,2153.1,248943,0
2021-08-23T12:45:00+0530,2153.55,2160.45,2150.2,2158.6,222355,0
2021-08-23T13:15:00+0530,2158.6,2167,2156.95,2164.15,267396,0
2021-08-23T13:45:00+0530,2164.55,2170,2163.15,2168,270865,0
2021-08-23T14:15:00+0530,2168.1,2168.4,2155.5,2160,230877,0
2021-08-23T14:45:00+0530,2160,2163.7,2156.55,2162.95,280328,0
2021-08-23T15:15:00+0530,2162.65,2164,2161,2161.1,282362,0
2021-08-24T09:15:00+0530,2165.05,2177,2155.6,2169.1,770456,0
2021-08-24T09:45:00+0530,2169.5,2173.35,2156.8,2163,530124,0
2021-08-24T10:15:00+0530,2162.9,2166.55,2160.65,2166.55,276791,0
2021-08-24T10:45:00+0530,2167,2170,2165,2167.1,280754,0
2021-08-24T11:15:00+0530,2167.1,2168,2163.65,2163.75,196298,0
2021-08-24T11:45:00+0530,2164,2167,2161.45,2166.95,236803,0
2021-08-24T12:15:00+0530,2166.95,2171.45,2165.8,2167,271968,0
2021-08-24T12:45:00+0530,2167.5,2175.9,2166.7,2174,361537,0
2021-08-24T13:15:00+0530,2173.8,2175.5,2171.3,2175,245625,0
2021-08-24T13:45:00+0530,2175,2192,2174.1,2189.6,866060,0
2021-08-24T14:15:00+0530,2189.6,2190,2181,2182.3,343667,0
2021-08-24T14:45:00+0530,2182.4,2187.4,2182.25,2184.5,635400,0
2021-08-24T15:15:00+0530,2184.5,2184.65,2177.95,2178,387306,0
2021-08-25T09:15:00+0530,2185.4,2198.55,2180.1,2190.55,853024,0
2021-08-25T09:45:00+0530,2190.9,2191,2185,2186.3,205314,0
2021-08-25T10:15:00+0530,2186.3,2199.7,2186,2199,280568,0
2021-08-25T10:45:00+0530,2197.65,2208.9,2193.05,2203.45,853188,0
2021-08-25T11:15:00+0530,2203.25,2211,2195.35,2200,622043,0
2021-08-25T11:45:00+0530,2200,2219.8,2196.3,2217.5,740326,0
2021-08-25T12:15:00+0530,2217.5,2220,2209,2219.35,454833,0
2021-08-25T12:45:00+0530,2219.15,2219.45,2211,2214.3,322079,0
2021-08-25T13:15:00+0530,2214.5,2214.8,2204,2211.2,316027,0
2021-08-25T13:45:00+0530,2211.2,2214,2206.75,2209.15,215813,0
2021-08-25T14:15:00+0530,2209.15,2216.85,2208,2208.05,297750,0
2021-08-25T14:45:00+0530,2208.4,2210.85,2200.55,2204.55,455831,0
2021-08-25T15:15:00+0530,2204.35,2206.1,2198,2200.25,536442,0
2021-08-26T09:15:00+0530,2208,2234.5,2205.95,2229.95,1929956,0
2021-08-26T09:45:00+0530,2229.95,2240,2229.95,2232.3,1177624,0
2021-08-26T10:15:00+0530,2232.3,2244.7,2232.3,2244,881701,0
2021-08-26T10:45:00+0530,2244,2244,2232,2240.95,515159,0
2021-08-26T11:15:00+0530,2240.9,2241,2233.85,2236.1,250377,0
2021-08-26T11:45:00+0530,2236.15,2236.3,2227.65,2234.5,397167,0
2021-08-26T12:15:00+0530,2232.95,2233.9,2227.05,2228.45,320743,0
2021-08-26T12:45:00+0530,2228.4,2235,2221.25,2232.65,444414,0
2021-08-26T13:15:00+0530,2232.65,2232.95,2226.75,2229.9,264260,0
2021-08-26T13:45:00+0530,2229.85,2230,2223.3,2225,301480,0
2021-08-26T14:15:00+0530,2224.8,2228.55,2221.5,2222.5,410417,0
2021-08-26T14:45:00+0530,2222.55,2232.6,2222.4,2232.3,855554,0
2021-08-26T15:15:00+0530,2232.25,2235,2228.45,2232,789776,0
2021-08-27T09:15:00+0530,2237,2242.75,2223.9,2231.05,1023949,0
2021-08-27T09:45:00+0530,2231.1,2239.8,2227.25,2229.8,384390,0
2021-08-27T10:15:00+0530,2229.85,2234.95,2225.6,2228.3,266360,0
2021-08-27T10:45:00+0530,2228.3,2231,2221.35,2225.2,320432,0
2021-08-27T11:15:00+0530,2225.2,2230.25,2222.9,2227.45,294133,0
2021-08-27T11:45:00+0530,2227.5,2228,2223.8,2227.7,178977,0
2021-08-27T12:15:00+0530,2227.7,2228,2226,2226.5,156324,0
2021-08-27T12:45:00+0530,2226.95,2227.95,2225.6,2227.5,169422,0
2021-08-27T13:15:00+0530,2227.4,2227.8,2218,2220.45,312256,0
2021-08-27T13:45:00+0530,2221.15,2224.4,2216.05,2222.1,324427,0
2021-08-27T14:15:00+0530,2222.05,2226.2,2219.2,2224.4,251216,0
2021-08-27T14:45:00+0530,2224.45,2231.9,2224,2228.1,618333,0
