Date,Open,High,Low,Close,5,6
2021-10-14T09:15:00+0530,300,311.15,280,303.25,20250,273750
2021-10-14T09:16:00+0530,304.55,305.8,287,302.6,16600,273750
2021-10-14T09:17:00+0530,301.9,303.05,283.95,286.25,18875,275550
2021-10-14T09:18:00+0530,285,295,283.9,290.05,13050,275550
2021-10-14T09:19:00+0530,290,297.5,289.55,297.4,11525,275550
2021-10-14T09:20:00+0530,298.9,301,288.5,288.5,18950,290200
2021-10-14T09:21:00+0530,288.75,290.65,284.05,288.45,10425,290200
2021-10-14T09:22:00+0530,288.65,289.1,281,289.1,16225,290200
2021-10-14T09:23:00+0530,289.1,291,285.2,285.2,12625,298025
2021-10-14T09:24:00+0530,285.2,287.95,282.95,287.95,6550,298025
2021-10-14T09:25:00+0530,287.05,288.25,282.05,284.6,12750,298025
2021-10-14T09:26:00+0530,284.6,290.95,283.4,284,16100,306750
2021-10-14T09:27:00+0530,284,285.15,271,275.55,14675,306750
2021-10-14T09:28:00+0530,275.55,284.6,274.95,280.7,20075,306750
2021-10-14T09:29:00+0530,280.7,292.8,276.9,292.8,19000,311350
2021-10-14T09:30:00+0530,292.7,308.5,291.65,301.55,29725,311350
2021-10-14T09:31:00+0530,300.4,308.15,300.4,307.2,21600,311350
2021-10-14T09:32:00+0530,306.8,308.8,300.9,305.9,21575,319600
2021-10-14T09:33:00+0530,306.1,315.35,304.75,314.4,31650,319600
2021-10-14T09:34:00+0530,315.3,316.65,309.45,314.45,32750,319600
2021-10-14T09:35:00+0530,314.7,321.8,314.1,317.95,25025,325250
2021-10-14T09:36:00+0530,318.6,323.7,317.6,323.4,16125,325250
2021-10-14T09:37:00+0530,324.1,329.95,322.7,327.2,29375,325250
2021-10-14T09:38:00+0530,326.75,327.15,315,317.2,29650,326575
2021-10-14T09:39:00+0530,317.1,324.05,315.5,321.85,12525,326575
2021-10-14T09:40:00+0530,321.4,323.45,316,316.05,11825,326575
2021-10-14T09:41:00+0530,315.95,318.8,310.05,310.05,17300,328650
2021-10-14T09:42:00+0530,310.2,319.55,308.65,318.25,17575,328650
2021-10-14T09:43:00+0530,319.5,321.6,316.1,321,13975,328650
2021-10-14T09:44:00+0530,321,321.95,315,317.55,11100,322925
2021-10-14T09:45:00+0530,319,323.05,315,315,12050,322925
2021-10-14T09:46:00+0530,315,318.7,312,317.45,8850,322925
2021-10-14T09:47:00+0530,316.85,319.55,313.25,314.8,6625,328400
2021-10-14T09:48:00+0530,314.8,318.05,313.85,318.05,5525,328400
2021-10-14T09:49:00+0530,316.8,322,315.15,320.2,8675,328400
2021-10-14T09:50:00+0530,320.45,320.45,317.1,319.9,5300,331200
2021-10-14T09:51:00+0530,318.75,321.5,316,319,7975,331200
2021-10-14T09:52:00+0530,318,325,318,321,12375,331200
2021-10-14T09:53:00+0530,320.1,322.95,316,318.95,10650,335700
2021-10-14T09:54:00+0530,318.95,321.25,317.35,321,6925,335700
2021-10-14T09:55:00+0530,320.75,321.9,317.45,318.35,6600,335700
2021-10-14T09:56:00+0530,317.1,321,316.5,318.95,6800,343625
2021-10-14T09:57:00+0530,318.55,320.95,316.75,317,5125,343625
2021-10-14T09:58:00+0530,317,317,311.25,315.2,7075,343625
2021-10-14T09:59:00+0530,315.2,325.95,314.65,324.65,10750,345325
2021-10-14T10:00:00+0530,323.2,324.65,294.1,319.9,23100,345325
2021-10-14T10:01:00+0530,322,324.75,311.65,318.35,9650,345325
2021-10-14T10:02:00+0530,318.65,318.65,314.05,316.3,4425,349650
2021-10-14T10:03:00+0530,317.5,322.5,315.95,318.55,9875,349650
2021-10-14T10:04:00+0530,319.25,320.65,317.35,318.25,7425,349650
2021-10-14T10:05:00+0530,318.45,319.7,315.9,318.8,3950,354325
2021-10-14T10:06:00+0530,319,319.5,316.05,318,3550,354325
2021-10-14T10:07:00+0530,315.05,316.8,312.2,313.15,6700,354325
2021-10-14T10:08:00+0530,313.15,320,312,319.5,4400,355150
2021-10-14T10:09:00+0530,320,335.95,319.5,330.5,31375,355150
2021-10-14T10:10:00+0530,330.5,338.2,325.5,326.95,15825,355150
2021-10-14T10:11:00+0530,326.95,332.85,326,329.95,8200,354000
2021-10-14T10:12:00+0530,329.35,332,328,329.8,7050,354000
2021-10-14T10:13:00+0530,329.8,329.8,321.5,321.55,7350,354000
2021-10-14T10:14:00+0530,321.55,321.55,314.6,317,14725,356500
2021-10-14T10:15:00+0530,317,317.95,311.65,312,11250,356500
2021-10-14T10:16:00+0530,312,313.5,303,313.5,16000,356500
2021-10-14T10:17:00+0530,313.5,318.4,310.95,315.8,7975,363075
2021-10-14T10:18:00+0530,315.8,315.8,310.05,312.5,5550,363075
2021-10-14T10:19:00+0530,311.9,312.5,308.05,308.05,5450,363075
2021-10-14T10:20:00+0530,308.85,313.6,306.8,311.45,4050,364575
