Date,Open,High,Low,Close,5,6
2021-12-24T09:15:00+0530,35282.2,35289.95,35128.3,35128.3,0,0
2021-12-24T09:16:00+0530,35131.15,35161.95,35087.5,35089.85,0,0
2021-12-24T09:17:00+0530,35088.5,35115.75,35065.55,35100,0,0
2021-12-24T09:18:00+0530,35099.25,35099.25,35067.9,35068.7,0,0
2021-12-24T09:19:00+0530,35075.3,35075.3,35047.35,35069.45,0,0
2021-12-24T09:20:00+0530,35069.75,35099.65,35069.75,35080.45,0,0
2021-12-24T09:21:00+0530,35080.8,35118.2,35080.8,35099.75,0,0
2021-12-24T09:22:00+0530,35098.4,35129.2,35098.4,35118.1,0,0
2021-12-24T09:23:00+0530,35119.05,35152.1,35118.7,35137,0,0
2021-12-24T09:24:00+0530,35141.1,35161.2,35137.15,35137.15,0,0
2021-12-24T09:25:00+0530,35140.3,35152.2,35099.65,35152.2,0,0
2021-12-24T09:26:00+0530,35151.85,35158.15,35109.05,35110.35,0,0
2021-12-24T09:27:00+0530,35109.55,35115.15,35033.55,35043.2,0,0
2021-12-24T09:28:00+0530,35044,35077.95,35037.6,35077.85,0,0
2021-12-24T09:29:00+0530,35081.1,35081.1,35031.25,35042.1,0,0
2021-12-24T09:30:00+0530,35038.55,35048.05,34983.55,34990,0,0
2021-12-24T09:31:00+0530,34991.75,34997.95,34961.7,34962.9,0,0
2021-12-24T09:32:00+0530,34970.8,35002.25,34965.15,34995.9,0,0
2021-12-24T09:33:00+0530,34991.35,34991.35,34932.7,34955.55,0,0
2021-12-24T09:34:00+0530,34959,34967.9,34934.5,34934.5,0,0
2021-12-24T09:35:00+0530,34920.15,34936.8,34900.9,34900.9,0,0
2021-12-24T09:36:00+0530,34903.65,34924.45,34892.95,34911.9,0,0
2021-12-24T09:37:00+0530,34908.6,34911.05,34883.3,34891.2,0,0
2021-12-24T09:38:00+0530,34892.85,34904.35,34883.9,34904.35,0,0
2021-12-24T09:39:00+0530,34900.65,34905.2,34799.2,34803.65,0,0
2021-12-24T09:40:00+0530,34807.45,34845.4,34805.7,34841.75,0,0
2021-12-24T09:41:00+0530,34846.2,34848.15,34793.9,34806.5,0,0
2021-12-24T09:42:00+0530,34806.65,34811.5,34751.1,34751.4,0,0
2021-12-24T09:43:00+0530,34749.85,34792.1,34729.65,34775.1,0,0
2021-12-24T09:44:00+0530,34780.65,34784.75,34760.95,34766.8,0,0
2021-12-24T09:45:00+0530,34769.1,34780.95,34715.15,34778.25,0,0
2021-12-24T09:46:00+0530,34778.85,34829.75,34778.85,34806.3,0,0
2021-12-24T09:47:00+0530,34804.15,34830.6,34802.05,34829.9,0,0
2021-12-24T09:48:00+0530,34830.7,34850.9,34821.55,34828.35,0,0
2021-12-24T09:49:00+0530,34829.7,34831.05,34790.7,34810.45,0,0
2021-12-24T09:50:00+0530,34809.95,34809.95,34757.8,34762.2,0,0
2021-12-24T09:51:00+0530,34761.45,34796.1,34747.85,34772.15,0,0
2021-12-24T09:52:00+0530,34770.15,34779.1,34719.8,34747.25,0,0
2021-12-24T09:53:00+0530,34741.85,34785.45,34741.75,34763.3,0,0
2021-12-24T09:54:00+0530,34765,34770.55,34749,34754.15,0,0
2021-12-24T09:55:00+0530,34751.8,34774.95,34734.6,34769.8,0,0
2021-12-24T09:56:00+0530,34767.2,34778.35,34753.05,34764.5,0,0
2021-12-24T09:57:00+0530,34762.5,34762.85,34743.35,34746.7,0,0
2021-12-24T09:58:00+0530,34747.8,34753.7,34741.15,34750.8,0,0
2021-12-24T09:59:00+0530,34747.65,34800.6,34747.65,34792.65,0,0
2021-12-24T10:00:00+0530,34775.45,34807.05,34762.3,34806.35,0,0
2021-12-24T10:01:00+0530,34808.55,34810.2,34781.25,34799.4,0,0
2021-12-24T10:02:00+0530,34797.55,34799.6,34680.65,34682.4,0,0
2021-12-24T10:03:00+0530,34673.6,34680.25,34641.3,34650.4,0,0
2021-12-24T10:04:00+0530,34647.2,34668.5,34644.9,34658.55,0,0
2021-12-24T10:05:00+0530,34652.4,34657.5,34641.4,34654.55,0,0
2021-12-24T10:06:00+0530,34651.15,34676.65,34642.45,34676.65,0,0
2021-12-24T10:07:00+0530,34675.55,34675.55,34651.1,34669.8,0,0
2021-12-24T10:08:00+0530,34671.25,34687.95,34662.45,34678.65,0,0
2021-12-24T10:09:00+0530,34673.5,34673.5,34608.1,34611.6,0,0
2021-12-24T10:10:00+0530,34613.5,34657.25,34606.95,34646.2,0,0
2021-12-24T10:11:00+0530,34647.35,34650.35,34626.1,34635.65,0,0
2021-12-24T10:12:00+0530,34635.55,34640.85,34616.15,34623.95,0,0
2021-12-24T10:13:00+0530,34622.35,34662.05,34617.2,34662.05,0,0
2021-12-24T10:14:00+0530,34665.2,34672.6,34654.65,34654.65,0,0
2021-12-24T10:15:00+0530,34653.95,34669.8,34634.7,34666.9,0,0
2021-12-24T10:16:00+0530,34665.6,34696.15,34665.6,34680,0,0
2021-12-24T10:17:00+0530,34679.75,34699.2,34673.45,34699.2,0,0
2021-12-24T10:18:00+0530,34700.35,34702.8,34681.45,34695.95,0,0
2021-12-24T10:19:00+0530,34693.45,34698.1,34663.9,34681.85,0,0
2021-12-24T10:20:00+0530,34678.85,34687.55,34654.45,34683.9,0,0
2021-12-24T10:21:00+0530,34684.15,34689.65,34663.65,34682.6,0,0
2021-12-24T10:22:00+0530,34685.7,34686.45,34662.5,34664.5,0,0
2021-12-24T10:23:00+0530,34663.1,34669.8,34653.5,34667.2,0,0
2021-12-24T10:24:00+0530,34666.15,34685.6,34664.15,34679.95,0,0
