Date,Open,High,Low,Close,Adj Close,Volume
7/23/2020,192.399994,199.100006,191.149994,198.25,198.25,70801412
7/24/2020,195.699997,196.300003,190.649994,191.949997,191.949997,65265493
7/27/2020,193,193.199997,186.5,187.149994,187.149994,50697767
7/28/2020,188,190.5,185.75,189.449997,189.449997,51488617
7/29/2020,187.600006,195.25,187,191.199997,191.199997,73763368
7/30/2020,192.5,193.5,186.050003,186.550003,186.550003,48472816
7/31/2020,188,194.850006,186.699997,191.449997,191.449997,145892485
8/3/2020,192,194.600006,190.050003,192.25,192.25,72454278
8/4/2020,193.350006,193.800003,190.5,191.600006,191.600006,43866676
8/5/2020,192.75,196.850006,191,191.449997,191.449997,68888892
8/6/2020,192.300003,194.5,190.25,190.949997,190.949997,59740172
8/7/2020,191.449997,192.100006,189.550003,190.649994,190.649994,44822338
8/10/2020,191.850006,195.5,191.699997,193.800003,193.800003,48784530
8/11/2020,195,196.800003,193.75,195.050003,195.050003,43890305
8/12/2020,196,204.25,194.600006,203.300003,203.300003,157818228
8/13/2020,205.5,207.300003,200.75,201.899994,201.899994,70443118
8/14/2020,203,204,194.600006,196.5,196.5,56169088
8/17/2020,198.449997,198.649994,191.5,193.100006,193.100006,54787889
8/18/2020,193.800003,195.75,191.699997,195.100006,195.100006,46294169
8/19/2020,196.399994,200.300003,195.899994,197.050003,197.050003,59296062
8/20/2020,194,196.350006,193.25,194.75,194.75,37504602
8/21/2020,199,201.5,197.649994,198.399994,198.399994,68041871
8/24/2020,200,202.800003,198.600006,201.449997,201.449997,53850253
8/25/2020,204,208.449997,202.699997,207.949997,207.949997,105394375
8/26/2020,208.5,210.350006,206.149994,209.850006,209.850006,66749637
8/27/2020,210.5,216.5,210.5,215.649994,215.649994,80997993
8/28/2020,217,225.899994,216.800003,224.850006,224.850006,95974037
8/31/2020,231.550003,231.550003,210.350006,212,212,119986476
9/1/2020,213.100006,218.899994,211.199997,218.100006,218.100006,75048313
9/2/2020,218.25,219,212.300003,216.25,216.25,47608088
9/3/2020,217.5,218.25,212.300003,213.149994,213.149994,38594129
9/4/2020,210,212.300003,205.899994,206.600006,206.600006,54435758
9/7/2020,207.5,209.649994,205.399994,207.899994,207.899994,35687359
9/8/2020,207.899994,208.5,202.899994,204.050003,204.050003,34146789
9/9/2020,201.100006,201.399994,192.5,194.850006,194.850006,72715826
9/10/2020,197.699997,201.449997,195.199997,198.149994,198.149994,67789617
9/11/2020,198.550003,203.850006,197,202.699997,202.699997,48487971
