Date,Open,High,Low,Close,Adj Close,Volume
8/25/2016,505.805481,509.668854,499.762756,501.595367,490.325531,6904382
8/26/2016,504.170959,510.560394,502.536469,509.124023,497.685028,4448703
8/29/2016,508.802063,524.899475,508.232452,523.760254,511.99234,7473162
8/30/2016,526.013916,529.233398,521.556152,528.193237,516.325745,8385786
8/31/2016,527.450317,531.957581,518.584351,525.023315,513.227051,10750870
9/1/2016,521.556152,531.33844,508.034332,509.767914,498.314423,19669605
9/2/2016,510.708984,511.427185,496.444214,501.917328,490.640259,12979505
9/6/2016,505.16156,507.687622,502.734589,505.16156,493.811554,5312062
9/7/2016,506.201721,508.703003,501.768738,504.04715,492.722168,5966010
9/8/2016,506.721771,513.111206,505.31015,511.848175,500.347931,5633288
9/9/2016,512.640686,520.020752,510.164154,517.37085,505.746552,7047053
9/12/2016,510.362274,523.042114,509.743134,518.33667,506.690704,15545572
9/14/2016,519.079651,524.528015,515.562988,517.46991,505.843353,8586131
9/15/2016,518.584351,530.075439,518.584351,527.499817,515.647888,14477715
9/16/2016,528.490417,541.789368,524.577515,532.725281,520.755981,18148264
9/19/2016,531.23938,538.891846,530.47168,536.118164,524.072632,7696922
9/20/2016,536.910645,537.282104,529.505798,532.056641,520.102356,5321678
9/21/2016,531.957581,537.356384,529.481079,531.09082,519.158264,5050374
9/22/2016,536.415344,542.755249,534.434082,539.362366,527.244019,8658390
9/23/2016,539.387146,549.516113,539.387146,546.222351,533.949829,14346160
9/26/2016,546.519531,559.471741,544.959351,548.401672,536.0802,17635483
9/27/2016,553.255676,557.68866,548.104492,550.036194,537.677917,8941345
9/28/2016,548.748413,548.797974,538.049805,540.204407,528.067139,11454533
9/29/2016,542.359009,550.160034,528.688538,531.18988,519.255066,9811623
9/30/2016,528.985718,542.136108,528.143738,536.762024,524.702087,5168744
10/3/2016,538.396545,548.773193,533.072021,540.229187,528.091248,8364763
10/4/2016,541.393127,548.946533,540.873047,543.027649,530.826965,6051915
10/5/2016,546.816711,548.054993,537.802185,539.585266,527.461792,4979551
10/6/2016,540.873047,557.83728,540.873047,550.184814,537.823242,9742744
10/7/2016,551.769775,556.252258,548.054993,549.293274,536.951721,7051893
10/10/2016,551.769775,555.732239,541.863647,543.027649,530.826965,5332013
10/13/2016,539.387146,539.411926,521.060852,523.611694,511.847198,10124402
10/14/2016,526.509216,535.920044,525.840576,533.765442,521.772827,7045099
10/17/2016,534.929382,535.325623,524.404175,525.345276,513.541748,4535058
10/18/2016,527.995117,536.291504,526.038696,535.474243,523.443176,5110251
10/19/2016,537.133484,542.210388,535.622803,538.569885,526.469238,7879298
10/20/2016,541.838928,543.84491,536.935364,538.668945,526.566101,4672920
10/21/2016,543.349609,543.349609,524.230835,527.103577,515.260559,20125461
10/24/2016,529.976379,531.957581,525.345276,526.657837,514.82489,4851755
10/25/2016,527.499817,527.623657,522.150513,525.444336,513.63855,3534611
10/26/2016,523.066833,524.750916,521.110413,522.076233,510.346191,5051543
10/27/2016,520.615112,522.001953,516.80127,519.426331,507.755829,5926800
10/28/2016,520.070251,524.032715,516.99939,522.522034,510.781982,3751056
11/1/2016,520.714172,523.017334,518.782471,520.565552,508.869507,4718327
11/2/2016,515.612488,516.528809,505.706421,507.068512,495.67569,3248957
11/3/2016,507.118042,512.516846,505.508301,507.167572,495.772522,3374427
11/4/2016,505.33493,508.628723,495.304993,498.053955,486.863678,5323812
11/7/2016,502.239258,503.502289,494.834473,495.874603,484.733276,4387036
11/8/2016,498.128235,498.128235,494.462982,497.038574,485.871094,6198899
11/9/2016,470.539764,499.762756,460.633667,497.583405,486.403687,9986923
11/10/2016,504.51767,509.644073,498.772125,500.456177,489.211914,4506126
11/11/2016,494.240112,503.972839,492.878021,496.171783,485.023773,6818812
11/15/2016,493.571442,495.304993,485.176025,488.073547,477.107513,6685965
11/16/2016,492.828491,493.720032,485.745605,488.643158,477.664307,7638174
11/17/2016,488.370728,494.388702,482.625183,484.284454,473.403534,5827994
11/18/2016,487.875427,491.68927,486.389526,489.113678,478.124268,8382568
11/21/2016,489.138458,492.110291,486.983887,491.09491,480.060974,6106766
11/22/2016,494.165802,499.168396,491.98645,496.023193,484.87851,8143790
11/23/2016,497.781525,500.505707,495.082123,499.762756,488.534058,6049298
11/24/2016,498.053955,498.053955,486.488586,489.039398,478.051666,8728712
11/25/2016,490.351959,493.274261,487.553467,492.18457,481.12616,4824964
11/28/2016,491.83786,495.602173,487.429657,488.692688,477.712708,3836345
11/29/2016,489.856659,497.434814,489.386108,494.165802,483.062866,4562055
11/30/2016,495.280243,495.280243,488.692688,490.376709,479.358917,12735595
12/1/2016,495.304993,502.734589,492.828491,494.190552,483.087067,5827748
12/2/2016,493.274261,497.781525,491.2435,492.704651,481.634552,5760178
12/5/2016,492.828491,495.156403,488.618378,492.258881,481.198792,1840098
12/6/2016,493.323792,498.549255,492.630371,497.880585,486.694214,3104218
