time,open,high,low,close,5,6,result
2021-09-20T09:15:00+0530,3809,3871,3809,3832.45,620765,0,
2021-09-20T10:15:00+0530,3831.95,3847.9,3821.05,3829.15,254348,0,
2021-09-20T11:15:00+0530,3829.15,3838.75,3812.5,3821.2,343789,0,
2021-09-20T12:15:00+0530,3821.2,3855.75,3821.2,3840,295336,0,
2021-09-20T13:15:00+0530,3841.05,3848,3818.95,3821.5,158842,0,
2021-09-20T14:15:00+0530,3822.05,3834.9,3820.75,3827.6,195787,0,
2021-09-20T15:15:00+0530,3827.85,3829.95,3819.05,3820.05,116970,0,
2021-09-21T09:15:00+0530,3858,3870.95,3822.15,3842.75,379526,0,
2021-09-21T10:15:00+0530,3841.9,3848.85,3831,3834.3,138646,0,
2021-09-21T11:15:00+0530,3833.8,3844,3832.5,3836.9,181521,0,
2021-09-21T12:15:00+0530,3835.4,3854.8,3826.6,3854.75,185807,0,
2021-09-21T13:15:00+0530,3853.9,3868.75,3848.5,3854,251928,0,
2021-09-21T14:15:00+0530,3854.35,3870,3852.75,3861.3,281214,0,
2021-09-21T15:15:00+0530,3861.3,3866.85,3855.55,3861.95,119957,0,
2021-09-22T09:15:00+0530,3862.5,3890,3860,3886,380419,0,
2021-09-22T10:15:00+0530,3886,3896.85,3874.8,3883.6,318954,0,
2021-09-22T11:15:00+0530,3883.65,3884,3858.3,3867.7,231028,0,
2021-09-22T12:15:00+0530,3866.75,3886.8,3865,3869.85,234602,0,
2021-09-22T13:15:00+0530,3869.85,3876,3858.1,3873,207906,0,
2021-09-22T14:15:00+0530,3873.95,3879.2,3860,3860.95,215152,0,
2021-09-22T15:15:00+0530,3860.95,3867.7,3852.45,3856.75,148473,0,
2021-09-23T09:15:00+0530,3870,3872,3835,3858.15,494206,0,
2021-09-23T10:15:00+0530,3858.25,3865.95,3847.05,3854,190616,0,
2021-09-23T11:15:00+0530,3854,3859.55,3847.15,3854.9,185113,0,
2021-09-23T12:15:00+0530,3855,3857.2,3845.9,3849.8,170034,0,
2021-09-23T13:15:00+0530,3849.8,3864.95,3847.45,3863,242966,0,
2021-09-23T14:15:00+0530,3863.5,3878.9,3852,3867.9,556961,0,
2021-09-23T15:15:00+0530,3867.9,3877.4,3863.15,3872,149796,0,
2021-09-24T09:15:00+0530,3890,3938.5,3888.15,3928.15,1026778,0,
2021-09-24T10:15:00+0530,3928.25,3944.4,3919.4,3920.95,366814,0,
2021-09-24T11:15:00+0530,3920.95,3924.35,3881.45,3892.35,277275,0,
2021-09-24T12:15:00+0530,3892.3,3894.45,3855,3877,208344,0,
2021-09-24T13:15:00+0530,3876.85,3885.85,3872.05,3881.7,135738,0,
2021-09-24T14:15:00+0530,3881.7,3883.3,3867.15,3872,178619,0,
2021-09-24T15:15:00+0530,3871.9,3879.95,3868.05,3878.75,107391,0,
2021-09-27T09:15:00+0530,3900,3903.6,3835,3844.9,435581,0,
